date,station,precipitation
2020-01-01T00:00:00,GHCND:US1CAMT0041,0.0
2020-01-01T00:00:00,GHCND:US1CAMT0042,0.0
2020-01-01T00:00:00,GHCND:US1CAMT0046,0.3
2020-01-01T00:00:00,GHCND:US1CAMT0048,0.0
2020-01-01T00:00:00,GHCND:US1CANP0003,0.0
2020-01-01T00:00:00,GHCND:US1CANV0001,0.0
2020-01-01T00:00:00,GHCND:US1CANV0014,0.0
2020-01-01T00:00:00,GHCND:US1CANV0016,0.0
2020-01-01T00:00:00,GHCND:US1CANV0022,0.0
2020-01-01T00:00:00,GHCND:US1CANV0035,0.0
2020-01-01T00:00:00,GHCND:US1CANV0036,0.0
2020-01-01T00:00:00,GHCND:US1CANV0041,0.0
2020-01-01T00:00:00,GHCND:US1CANV0047,0.0
2020-01-01T00:00:00,GHCND:US1CANV0050,0.0
2020-01-01T00:00:00,GHCND:US1CANV0051,0.0
2020-01-01T00:00:00,GHCND:US1CANV0052,0.0
2020-01-01T00:00:00,GHCND:US1CANV0053,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0005,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0006,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0016,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0019,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0021,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0026,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0027,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0031,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0039,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0042,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0043,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0050,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0052,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0061,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0067,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0070,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0072,0.0
2020-01-01T00:00:00,GHCND:US1CAOR0077,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0001,1.0
2020-01-01T00:00:00,GHCND:US1CAPC0007,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0010,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0011,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0013,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0024,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0034,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0035,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0045,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0047,0.0
2020-01-01T00:00:00,GHCND:US1CAPC0049,0.0
2020-01-01T00:00:00,GHCND:US1CAPM0009,0.0
2020-01-01T00:00:00,GHCND:US1CARV0005,0.0
2020-01-01T00:00:00,GHCND:US1CARV0008,0.0
2020-01-01T00:00:00,GHCND:US1CARV0015,0.0
2020-01-01T00:00:00,GHCND:US1CARV0018,0.0
2020-01-01T00:00:00,GHCND:US1CARV0020,0.0
2020-01-01T00:00:00,GHCND:US1CARV0027,0.0
2020-01-01T00:00:00,GHCND:US1CARV0034,0.0
2020-01-01T00:00:00,GHCND:US1CARV0036,0.0
2020-01-01T00:00:00,GHCND:US1CARV0043,0.0
2020-01-01T00:00:00,GHCND:US1CARV0045,0.0
2020-01-01T00:00:00,GHCND:US1CARV0050,0.0
2020-01-01T00:00:00,GHCND:US1CARV0058,0.0
2020-01-01T00:00:00,GHCND:US1CARV0060,0.0
2020-01-01T00:00:00,GHCND:US1CARV0063,0.0
2020-01-01T00:00:00,GHCND:US1CARV0065,0.0
2020-01-01T00:00:00,GHCND:US1CARV0066,0.0
